state,fiscal_year,value,agency,bureau,program
Minnesota,2018,92897,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
Mississippi,2018,41365,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
Missouri,2018,63838,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
Montana,2018,14948,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
Nebraska,2018,22232,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
Nevada,2018,34862,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
New Hampshire,2018,13067,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
New Jersey,2018,192805,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
New Mexico,2018,46580,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
New York,2018,449103,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
North Carolina,2018,147722,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
North Dakota,2018,13831,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
Ohio,2018,140787,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
Oklahoma,2018,59409,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
Oregon,2018,114434,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
Pennsylvania,2018,235951,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
Rhode Island,2018,12412,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
South Carolina,2018,43650,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
South Dakota,2018,12690,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
Tennessee,2018,90844,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
Texas,2018,281267,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
Utah,2018,21616,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
Vermont,2018,13142,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
Virginia,2018,151529,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
Washington,2018,141333,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
West Virginia,2018,27951,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
Wisconsin,2018,81040,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
Wyoming,2018,8085,Department of Agriculture,Food and Nutrition Service,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program
Alabama,2016,52539,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Alaska,2016,9203,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Arizona,2016,51169,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Arkansas,2016,57462,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
California,2016,429089,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Colorado,2016,25792,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Connecticut,2016,18032,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Delaware,2016,16187,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
District of Columbia,2016,8663,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Florida,2016,249853,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Georgia,2016,119258,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Hawaii,2016,7103,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Idaho,2016,7731,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Illinois,2016,146784,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Indiana,2016,56735,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Iowa,2016,27690,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Kansas,2016,33199,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Kentucky,2016,37380,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Louisiana,2016,99968,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Maine,2016,10099,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Maryland,2016,56678,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Massachusetts,2016,65393,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Michigan,2016,68388,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Minnesota,2016,63810,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Mississippi,2016,43299,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Missouri,2016,51130,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Montana,2016,10928,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Nebraska,2016,32315,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Nevada,2016,10284,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
New Hampshire,2016,5224,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
New Jersey,2016,79319,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
New Mexico,2016,33856,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
New York,2016,266965,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
North Carolina,2016,95185,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
North Dakota,2016,10934,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Ohio,2016,87679,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Oklahoma,2016,57903,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Oregon,2016,35408,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Pennsylvania,2016,113446,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Rhode Island,2016,9600,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
South Carolina,2016,33066,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
South Dakota,2016,8958,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Tennessee,2016,69526,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Texas,2016,361048,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Utah,2016,28381,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Vermont,2016,6447,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Virginia,2016,46230,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Washington,2016,47468,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
West Virginia,2016,16217,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Wisconsin,2016,40233,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Wyoming,2016,4930,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Alabama,2017,57296,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Alaska,2017,10036,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Arizona,2017,55802,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Arkansas,2017,62665,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
California,2017,467942,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Colorado,2017,28127,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Connecticut,2017,19665,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Delaware,2017,17653,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
District of Columbia,2017,9447,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Florida,2017,272476,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Georgia,2017,130056,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Hawaii,2017,7746,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Idaho,2017,8431,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Illinois,2017,160075,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Indiana,2017,61872,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Iowa,2017,30197,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Kansas,2017,36205,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Kentucky,2017,40765,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Louisiana,2017,109020,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Maine,2017,11013,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Maryland,2017,61810,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Massachusetts,2017,71314,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Michigan,2017,74580,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Minnesota,2017,69588,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Mississippi,2017,47220,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Missouri,2017,55760,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Montana,2017,11917,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Nebraska,2017,35241,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Nevada,2017,11215,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
New Hampshire,2017,5697,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
New Jersey,2017,86501,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
New Mexico,2017,36922,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
New York,2017,291138,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
North Carolina,2017,103804,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
North Dakota,2017,11924,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Ohio,2017,95618,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Oklahoma,2017,63146,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Oregon,2017,38614,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Pennsylvania,2017,123718,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Rhode Island,2017,10469,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
South Carolina,2017,36060,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
South Dakota,2017,9769,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Tennessee,2017,75821,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Texas,2017,393740,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Utah,2017,30951,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Vermont,2017,7031,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Virginia,2017,50416,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Washington,2017,51766,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
West Virginia,2017,17685,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Wisconsin,2017,43876,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Wyoming,2017,5376,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Alabama,2018,61384,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Alaska,2018,10752,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Arizona,2018,59783,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Arkansas,2018,67136,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
California,2018,501327,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Colorado,2018,30134,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Connecticut,2018,21068,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Delaware,2018,18912,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
District of Columbia,2018,10121,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Florida,2018,291916,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Georgia,2018,139335,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Hawaii,2018,8299,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Idaho,2018,9033,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Illinois,2018,171496,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Indiana,2018,66287,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Iowa,2018,32352,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Kansas,2018,38788,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Kentucky,2018,43673,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Louisiana,2018,116798,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Maine,2018,11799,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Maryland,2018,66220,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Massachusetts,2018,76402,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Michigan,2018,79901,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Minnesota,2018,74553,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Mississippi,2018,50589,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Missouri,2018,59738,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Montana,2018,12768,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Nebraska,2018,37755,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Nevada,2018,12015,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
New Hampshire,2018,6103,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
New Jersey,2018,92673,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
New Mexico,2018,39556,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
New York,2018,311909,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
North Carolina,2018,111210,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
North Dakota,2018,12775,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Ohio,2018,102440,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Oklahoma,2018,67651,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Oregon,2018,41369,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Pennsylvania,2018,132545,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Rhode Island,2018,11216,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
South Carolina,2018,38633,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
South Dakota,2018,10466,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Tennessee,2018,81231,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Texas,2018,421831,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Utah,2018,33159,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Vermont,2018,7532,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Virginia,2018,54013,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Washington,2018,55459,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
West Virginia,2018,18947,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Wisconsin,2018,47006,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Wyoming,2018,5760,Department of Agriculture,Food and Nutrition Service,Child and Adult Care Food Program
Alabama,2016,110726,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Alaska,2016,24579,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Arizona,2016,126264,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Arkansas,2016,69722,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
California,2016,1128854,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Colorado,2016,76029,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Connecticut,2016,46870,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Delaware,2016,16156,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
District of Columbia,2016,15049,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Florida,2016,369903,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Georgia,2016,218824,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Hawaii,2016,32427,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Idaho,2016,30409,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Illinois,2016,228504,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Indiana,2016,111356,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Iowa,2016,44907,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Kansas,2016,48302,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Kentucky,2016,98220,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Louisiana,2016,126211,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Maine,2016,18223,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Maryland,2016,116299,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Massachusetts,2016,83451,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Michigan,2016,194539,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Minnesota,2016,102073,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Mississippi,2016,83985,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Missouri,2016,92870,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Montana,2016,15536,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Nebraska,2016,33063,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Nevada,2016,51976,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
New Hampshire,2016,11521,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
New Jersey,2016,150723,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
New Mexico,2016,45670,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
New York,2016,497580,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
North Carolina,2016,203600,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
North Dakota,2016,10828,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Ohio,2016,160016,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Oklahoma,2016,64258,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Oregon,2016,77785,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Pennsylvania,2016,202895,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Rhode Island,2016,18364,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
South Carolina,2016,94654,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
South Dakota,2016,18641,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Tennessee,2016,128617,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Texas,2016,530495,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Utah,2016,44740,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Vermont,2016,13591,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Virginia,2016,113209,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Washington,2016,149191,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
West Virginia,2016,34834,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Wisconsin,2016,88759,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Wyoming,2016,8532,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Alabama,2017,115618,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Alaska,2017,25665,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Arizona,2017,131842,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Arkansas,2017,72802,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
California,2017,1178724,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Colorado,2017,79388,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Connecticut,2017,48940,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Delaware,2017,16870,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
District of Columbia,2017,15714,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Florida,2017,386245,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Georgia,2017,228492,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Hawaii,2017,33860,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Idaho,2017,31752,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Illinois,2017,238598,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Indiana,2017,116275,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Iowa,2017,46891,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Kansas,2017,50436,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Kentucky,2017,102559,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Louisiana,2017,131787,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Maine,2017,19028,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Maryland,2017,121436,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Massachusetts,2017,87138,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Michigan,2017,203133,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Minnesota,2017,106582,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Mississippi,2017,87695,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Missouri,2017,96973,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Montana,2017,16223,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Nebraska,2017,34524,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Nevada,2017,54273,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
New Hampshire,2017,12030,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
New Jersey,2017,157381,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
New Mexico,2017,47688,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
New York,2017,519562,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
North Carolina,2017,212595,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
North Dakota,2017,11306,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Ohio,2017,167085,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Oklahoma,2017,67097,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Oregon,2017,81221,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Pennsylvania,2017,211858,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
Rhode Island,2017,19175,Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children"
